iter	MultiClass
0	0.6852545144
1	0.6741229494
2	0.6668436809
3	0.6581143423
4	0.653833993
5	0.6477816727
6	0.6400607882
7	0.6339376959
8	0.6283919184
9	0.6214814686
10	0.614345148
11	0.6085841765
12	0.6029813326
13	0.595287334
14	0.590580876
15	0.5857797484
16	0.5787080208
17	0.5737024872
18	0.569676634
19	0.5659376372
20	0.5613011299
21	0.5568025824
22	0.5512330615
23	0.5479959635
24	0.5435582571
25	0.5396125248
26	0.5378079052
27	0.5342244855
28	0.5309766488
29	0.526446583
30	0.5228372896
31	0.5190349194
32	0.5163396502
33	0.5137120455
34	0.5103590613
35	0.507844177
36	0.5063624108
37	0.5038504209
38	0.5007139482
39	0.4970589878
40	0.4944319035
41	0.4910037754
42	0.486920052
43	0.4848100986
44	0.4825407778
45	0.4801928349
46	0.4781968929
47	0.474606745
48	0.4730141771
49	0.4706301753
50	0.4673556783
51	0.4644700462
52	0.4628498643
53	0.4591710718
54	0.4557731376
55	0.4538992542
56	0.4515409332
57	0.4493089457
58	0.4458506131
59	0.4422996059
60	0.4393533874
61	0.4362948038
62	0.4345385488
63	0.433236759
64	0.4295021334
65	0.427894318
66	0.4245958725
67	0.4211667147
68	0.4191383829
69	0.4158166362
70	0.4141334601
71	0.4129951728
72	0.4104731227
73	0.4074801789
74	0.4051614318
75	0.4026641745
76	0.3990044233
77	0.3964558599
78	0.3949310802
79	0.3933832636
80	0.3900177833
81	0.3876566342
82	0.3859405508
83	0.3831287557
84	0.380568488
85	0.3790608643
86	0.376224261
87	0.3745144679
88	0.3725329567
89	0.3702429611
90	0.3682412379
91	0.3651581362
92	0.3628444199
93	0.3618062864
94	0.3603357753
95	0.3591540943
96	0.3568708085
97	0.3543867187
98	0.3523765468
99	0.3513136522
100	0.3495910258
101	0.3478565676
102	0.3469554956
103	0.3458311729
104	0.3446769235
105	0.3428835275
106	0.3407730439
107	0.3393729744
108	0.3378796479
109	0.3358559782
110	0.3335870171
111	0.3312566012
112	0.3294966566
113	0.327715468
114	0.3259467315
115	0.3241109201
116	0.3224559061
117	0.3210756587
118	0.3195053084
119	0.3180824338
120	0.3167288253
121	0.3152233171
122	0.3126596877
123	0.3109409906
124	0.309549507
125	0.3068934987
126	0.3049181179
127	0.3033928689
128	0.3016312578
129	0.3006543022
130	0.2988724286
131	0.2975178856
132	0.2954081047
133	0.2931827157
134	0.2916832639
135	0.2891658549
136	0.2865094645
137	0.284521177
138	0.2832424554
139	0.2824426482
140	0.2812366708
141	0.2797471084
142	0.2779742654
143	0.2764501462
144	0.2746198307
145	0.272995178
146	0.2713076309
147	0.2700741561
148	0.2680194574
149	0.265904607
150	0.2641168407
151	0.2617586977
152	0.2604622803
153	0.2589693636
154	0.2571524683
155	0.2558381726
156	0.2539059734
157	0.2523656851
158	0.2508342772
159	0.249182482
160	0.2474587438
161	0.2462911065
162	0.2449801489
163	0.2438585605
164	0.2421284211
165	0.2411152447
166	0.2397796366
167	0.2384734184
168	0.2372852218
169	0.236574508
170	0.235101499
171	0.2329725027
172	0.2309954788
173	0.2298417769
174	0.2276284287
175	0.22668144
176	0.2257322501
177	0.224261884
178	0.2232418503
179	0.2219828448
180	0.2210198313
181	0.2188631585
182	0.2171438971
183	0.216370594
184	0.2147570952
185	0.2138177357
186	0.21351211
187	0.2123259576
188	0.2108511329
189	0.2101253478
190	0.2087292553
191	0.2081382866
192	0.206932143
193	0.2055687441
194	0.2047273101
195	0.2041015842
196	0.2029537659
197	0.2019912021
198	0.2012462041
199	0.2002502348
200	0.1994468199
201	0.1990443992
202	0.1981676943
203	0.1968237687
204	0.1960450028
205	0.1953083807
206	0.1944707495
207	0.1941343792
208	0.193359263
209	0.1925737259
210	0.191958584
211	0.1910468001
212	0.1901056438
213	0.1887372394
214	0.1877448691
215	0.1864390356
216	0.1858654667
217	0.1848259824
218	0.1843304853
219	0.1834820341
220	0.1823321886
221	0.1819143556
222	0.1813667698
223	0.180834666
224	0.1798080002
225	0.1790009702
226	0.178439113
227	0.1777112956
228	0.1768673696
229	0.1760585766
230	0.1751557074
231	0.1744298092
232	0.1734551177
233	0.1727411165
234	0.1719847856
235	0.1715362064
236	0.1709598374
237	0.1701256729
238	0.1691315381
239	0.1679730933
240	0.1667646752
241	0.1660506652
242	0.165587464
243	0.1646465234
244	0.1637042871
245	0.1632016022
246	0.1624768419
247	0.1615809731
248	0.1610913115
249	0.1597765188
250	0.1590629937
251	0.1583936017
252	0.1570018974
253	0.1562078807
254	0.1551548572
255	0.1545227525
256	0.153412801
257	0.1525243183
258	0.1517363217
259	0.1510823612
260	0.1502176913
261	0.1495997775
262	0.149065974
263	0.1485549575
264	0.1479959853
265	0.1474730601
266	0.1470967764
267	0.1465945765
268	0.1462509871
269	0.1457327573
270	0.1454254697
271	0.1447558569
272	0.1443072983
273	0.1438533949
274	0.1435593249
275	0.1429814615
276	0.1423067403
277	0.1417239539
278	0.1413682375
279	0.140801047
280	0.1402300974
281	0.1396574884
282	0.1391475313
283	0.1384955277
284	0.1378056743
285	0.1371749719
286	0.1366800699
287	0.1357901276
288	0.1355725535
289	0.1348067353
290	0.1341932039
291	0.1338807566
292	0.1332861573
293	0.1330814595
294	0.132264274
295	0.1320988642
296	0.1313878359
297	0.1309206791
298	0.1306445064
299	0.1301878527
300	0.1296772682
301	0.1291180982
302	0.128684515
303	0.1282529275
304	0.1277228927
305	0.1274489514
306	0.127130823
307	0.1268989927
308	0.1265453952
309	0.1261670455
310	0.1257334447
311	0.1254106477
312	0.1246884878
313	0.1243721819
314	0.1239688881
315	0.1232299568
316	0.1225611309
317	0.1220031354
318	0.1215375481
319	0.1210429691
320	0.1203945311
321	0.1198287715
322	0.1193916673
323	0.1188773829
324	0.1185604929
325	0.1182698773
326	0.1179079658
327	0.1174462571
328	0.1172212367
329	0.1167359995
330	0.1163794014
331	0.1158810445
332	0.1151539829
333	0.1145653435
334	0.1142386363
335	0.1136928559
336	0.1134081813
337	0.1127409703
338	0.1123825141
339	0.1120047333
340	0.111562997
341	0.1109736565
342	0.1107150238
343	0.110219889
344	0.1098193503
345	0.1095159506
346	0.1092104784
347	0.1088933743
348	0.1086241482
349	0.108279136
350	0.1080403369
351	0.1076912676
352	0.1072894556
353	0.1070531605
354	0.1066450518
355	0.1062417283
356	0.1059665342
357	0.105522776
358	0.1053183603
359	0.1051042562
360	0.1049557288
361	0.1047203092
362	0.1042901472
363	0.1038701634
364	0.1036301937
365	0.1033958295
366	0.1030667073
367	0.1028148008
368	0.1024911019
369	0.1022613689
370	0.1019306257
371	0.1016034093
372	0.1012041223
373	0.1009730058
374	0.100300848
375	0.0998856893
376	0.09965224577
377	0.09930806932
378	0.09901270298
379	0.09858899543
380	0.09830602901
381	0.09804527466
382	0.0977474835
383	0.09732796771
384	0.09699279262
385	0.09681528375
386	0.09659275925
387	0.09625039402
388	0.09599290097
389	0.09575584778
390	0.09549796584
391	0.0951772499
392	0.09496567975
393	0.09468746664
394	0.09441429596
395	0.09417157048
396	0.0938729158
397	0.09344475951
398	0.09334487622
399	0.0929040752
400	0.09257613095
401	0.09229457793
402	0.09192682715
403	0.09168484703
404	0.09126119591
405	0.0907275964
406	0.09055730542
407	0.09026025769
408	0.08983752142
409	0.08948649075
410	0.08904948871
411	0.08864832446
412	0.0885446213
413	0.0883522966
414	0.08808994665
415	0.08778801917
416	0.08750456019
417	0.08725327957
418	0.087005496
419	0.0867728775
420	0.08657065156
421	0.08618804463
422	0.08574858018
423	0.08549416338
424	0.08515471447
425	0.0849669014
426	0.08474193874
427	0.08444634875
428	0.0842513837
429	0.08409577892
430	0.08370259755
431	0.08345982533
432	0.08324812221
433	0.08302405378
434	0.08288633067
435	0.08271207128
436	0.08258704779
437	0.08232486699
438	0.08216370295
439	0.08183120285
440	0.0813890436
441	0.08108218242
442	0.08091188544
443	0.08078129559
444	0.08048872288
445	0.08025207359
446	0.07990198375
447	0.07969227148
448	0.07948757859
449	0.07910476855
450	0.07899127781
451	0.07875177622
452	0.07857690173
453	0.07835041249
454	0.07812086166
455	0.07786709069
