iter	MultiClass
0	0.6889339545
1	0.6838859482
2	0.6800048657
3	0.6758066477
4	0.6712470612
5	0.6665381477
6	0.6624780906
7	0.6580127289
8	0.6546443879
9	0.6510829425
10	0.6474762662
11	0.6432245104
12	0.6397202924
13	0.6367797755
14	0.6336031406
15	0.6306713499
16	0.6267662504
17	0.6232703605
18	0.6199588097
19	0.6173311302
20	0.611281705
21	0.6077375342
22	0.6044351908
23	0.6007462787
24	0.5981235571
25	0.5944798736
26	0.5920679819
27	0.5897813877
28	0.5870916842
29	0.5842298825
30	0.5805769529
31	0.5777135217
32	0.5743205773
33	0.5715673334
34	0.5688998848
35	0.5663502853
36	0.5641295774
37	0.5616134681
38	0.5580465115
39	0.55595097
40	0.5529318027
41	0.5508270045
42	0.5486760157
43	0.5462625777
44	0.5443476613
45	0.5402295197
46	0.5380959745
47	0.5366252611
48	0.534183213
49	0.5331835107
50	0.5313667173
51	0.5297305473
52	0.5269126029
53	0.5251053074
54	0.5224657047
55	0.5208207325
56	0.5184208429
57	0.5168788512
58	0.5134783599
59	0.5124684134
60	0.5100278814
61	0.5087393074
62	0.5062258333
63	0.5048026325
64	0.5028204076
65	0.5002445788
66	0.4993442511
67	0.4978224129
68	0.495716749
69	0.493297622
70	0.4910505179
71	0.4891634528
72	0.4861828121
73	0.4842491103
74	0.4821227396
75	0.4796231681
76	0.4777798056
77	0.475737819
78	0.4747229542
79	0.4729289899
80	0.4717501967
81	0.4698192003
82	0.4680157723
83	0.4652505925
84	0.4632097943
85	0.4601789915
86	0.4580731555
87	0.4571486409
88	0.4554313722
89	0.4535873158
90	0.450162763
91	0.4483314263
92	0.4460830743
93	0.4452981841
94	0.4439871554
95	0.4425616594
96	0.439919751
97	0.4370251536
98	0.4354615302
99	0.434006146
100	0.4323673863
101	0.4306819035
102	0.428966283
103	0.4267237303
104	0.425217936
105	0.4238693966
106	0.4224424828
107	0.4214956929
108	0.419536584
109	0.4176429055
110	0.4160080006
111	0.4147785221
112	0.4127184541
113	0.4108184705
114	0.40930202
115	0.4079296302
116	0.4055382453
117	0.4035072777
118	0.4018191556
119	0.3994853994
120	0.398514611
121	0.3966842436
122	0.3950356452
123	0.3928423884
124	0.3911285841
125	0.3896821461
126	0.3881393133
127	0.386975426
128	0.3851313773
129	0.3829540433
130	0.3810955555
131	0.3792325056
132	0.3773401775
133	0.3755531428
134	0.3732819996
135	0.3720573398
136	0.3713015697
137	0.3697706656
138	0.3678902129
139	0.3664950839
140	0.3642192479
141	0.3621880715
142	0.3600313455
143	0.3579669994
144	0.3562265658
145	0.3552266855
146	0.3539313844
147	0.3529491798
148	0.3517588653
149	0.3504116211
150	0.3485306279
151	0.3474851414
152	0.3455147881
153	0.3442151332
154	0.3429523119
155	0.3420273739
156	0.3406591478
157	0.3384219439
158	0.3370173385
159	0.3354833228
160	0.3336123433
161	0.3326814893
162	0.3301559353
163	0.3282063339
164	0.3265060784
165	0.3245251616
166	0.3234489896
167	0.3214410596
168	0.3194395606
169	0.3179232314
170	0.3165722301
171	0.3150318436
172	0.3133745133
173	0.3118340729
174	0.3105503507
175	0.3086334312
176	0.3066074283
177	0.3058039102
178	0.3049729595
179	0.3038737502
180	0.3027797612
181	0.3010337096
182	0.2997404471
183	0.2987441384
184	0.2976257955
185	0.296778779
186	0.2950150797
187	0.2933760013
188	0.2917303087
189	0.2904951676
190	0.2894058646
191	0.2883092359
192	0.2865087948
193	0.2851301964
194	0.2839032728
195	0.2825148716
196	0.2810367996
197	0.2798005493
198	0.2786947665
199	0.2777101997
200	0.276945055
201	0.2758131618
202	0.274648981
203	0.2735885848
204	0.2722721049
205	0.271028624
206	0.2701020636
207	0.2689686799
208	0.267760394
209	0.2668699659
210	0.2652881705
211	0.2637971662
212	0.2622315236
213	0.2611355468
214	0.2599570547
215	0.2582449965
216	0.2571166352
217	0.2561407498
218	0.2549007315
219	0.2533843618
220	0.2520942802
221	0.2510208078
222	0.2500991438
223	0.2490361691
224	0.2485627932
225	0.2470152616
226	0.2461313071
227	0.2450883377
228	0.24409579
229	0.2429505812
230	0.2421212693
231	0.241432692
232	0.2407397391
233	0.2396167688
234	0.2388456483
235	0.2378134564
236	0.2370720771
237	0.2365876859
3
238	0.252174904
239	0.2514488641
240	0.2503963537
241	0.2490701269
242	0.2479898445
243	0.2474491336
244	0.2463216708
245	0.2450492219
246	0.2439115777
247	0.243190897
248	0.2421337048
249	0.2412391042
250	0.2399485121
251	0.2393445812
252	0.2385360328
253	0.2377859228
254	0.2368326807
255	0.2360194941
56	0.2337667253
257	0.2330985699
258	0.2322567099
259	0.2316060822
260	0.2305159965
261	0.2293980639
262	0.2285383548
263	0.2276143806
264	0.2268808165
265	0.2262895093
266	0.2253585608
267	0.2245067459
268	0.2233596538
269	0.2226278103
270	0.2216230443
271	0.2210585934
272	0.2202827907
273	0.2196795346
274	0.2188991632
275	0.2179936681
276	0.2167192197
277	0.2163495515
278	0.2156603663
279	0.2153580718
280	0.2145271222
281	0.2135251647
292
282	0.1881129699
283	0.1874596411
284	0.1867033874
285	0.1861855581
286	0.185519565
287	0.1846147607
288	0.1842774855
289	0.1836077623
290	0.1828857197
291	0.182242628
292	0.1813137578
293	0.1810201644
294	0.1806785103
295	0.1799886172
296	0.1789212111
297	0.1783056852
298	0.1776473812
299	0.1766619766
300	0.1756116915
301	0.1751932159
302	0.1745423325
303	0.1737311486
304	0.1733493377
305	0.1727949356
306	0.1720356738
307	0.1712502694
308	0.1707449425
309	0.1704001835
310	0.1694860956
311	0.1685031022
312	0.167659411
313	0.1671261119
314	0.1667763634
315	0.1662780304
316	0.1658557446
317	0.1654403822
318	0.1644941329
319	0.1635025812
320	0.1632105444
321	0.1627023655
322	0.1621954569
323	0.161065139
324	0.1605262448
325	0.1599372985
326	0.1591746966
327	0.1587433281
328	0.1584345459
329	0.1580327283
330	0.1574204618
331	0.1569007768
332	0.1563383367
333	0.1556353824
334	0.1551369432
335	0.1545046967
336	0.153986109
337	0.1534494533
338	0.1526974157
339	0.1522495493
340	0.1519300928
341	0.151433636
342	0.1512187901
343	0.1508476308
344	0.1503851753
345	0.1500169526
346	0.1495122604
347	0.149081777
348	0.1484405565
349	0.1476640389
350	0.1470987253
351	0.1469348001
352	0.1465501363
353	0.1460234188
354	0.1455270217
355	0.1449803131
356	0.1444373169
357	0.1442243524
358	0.1439426111
359	0.1434479401
360	0.1430190713
361	0.1424028566
362	0.1419354782
363	0.1416758899
364	0.1412503292
365	0.1408746207
366	0.1403693313
367	0.139904778
368	0.1396227877
369	0.1392115119
370	0.1384738849
371	0.1378578773
372	0.1374278475
373	0.1371333862
374	0.1365324388
375	0.1362317235
376	0.1358044639
377	0.1352624176
378	0.1347683678
379	0.1342692334
380	0.1339503293
381	0.1334087245
382	0.1330935149
383	0.1323756329
384	0.1319423306
385	0.1317127262
386	0.1312056354
387	0.1306751861
388	0.1304189512
389	0.1299465698
390	0.129526213
391	0.1292320084
392	0.1287818921
393	0.1285343236
394	0.128108809
395	0.1277501197
396	0.1272565741
397	0.1269365108
398	0.1262477387
399	0.1258904891
400	0.125499139
401	0.1250782103
402	0.1246177137
403	0.1243070163
404	0.1237656823
405	0.1233373671
406	0.1228725361
407	0.1223432018
408	0.1218962461
409	0.1216370551
410	0.1214724132
411	0.1210169223
412	0.1205229897
413	0.1201213952
414	0.1197123161
415	0.1192949742
416	0.1188894448
417	0.1185960927
418	0.1182962418
419	0.1178249514
420	0.1175298539
421	0.1171464961
422	0.1167997901
423	0.1165865465
424	0.1163163442
425	0.1161071388
426	0.1157090567
427	0.1154807489
428	0.1151914633
429	0.1146215915
430	0.1144263561
431	0.1141586434
432	0.1139469475
433	0.1136182111
	0.1135911802
435	0.113268311
436	0.1128962669
437	0.1126562778
438	0.1124379282
439	0.112249495
440	0.1120600336
441	0.1119107515
442	0.1116519634
443	0.1114301674
444	0.1110674489
445	0.1107589959
446	0.1103916905
447	0.1101155614
448	0.1097309595
449	0.1095209012
450	0.1090828298
451	0.108858222
452	0.1087002157
453	0.1085178148
454	0.1082698797
455	0.1081746521
456	0.1079850482
457	0.1078671255
458	0.1076875307
459	0.1074020342
460	0.1070570617
461	0.106870422
462	0.1065296332
463	0.1061624786
464	0.1059440885
465	0.1056757523
466	0.1054762966
467	0.1050417748
468	0.1048096733
469	0.1045370765
470	0.1042647173
471	0.1040939028
472	0.1038613284
473	0.1036165953
474	0.1034467076
475	0.1031237894
476	0.1028527838
477	0.1026614485
478	0.1024105343
479	0.1021120287
480	0.1017993254
481	0.1015218408
482	0.1013159436
483	0.1011383416
484	0.1008578411
485	0.1006841773
486	0.1003814089
487	0.1002796102
488	0.1000954439
09965217958
490	0.09942842108
491	0.0992654712
492	0.09904615154
493	0.0989281111
494	0.09862873016
