iter	Passed	Remaining
0	20	20803
1	37	18578
2	45	15155
3	58	14553
4	77	15463
5	90	14942
6	97	13851
7	107	13388
8	117	12922
9	129	12847
10	151	13637
11	154	12740
12	157	11992
13	165	11632
14	172	11319
15	179	11042
16	191	11081
17	198	10847
18	209	10840
19	218	10683
20	227	10606
21	238	10605
22	248	10569
23	262	10679
24	278	10842
25	292	10964
26	305	11027
27	313	10874
28	323	10829
29	330	10687
30	343	10738
31	358	10851
32	367	10782
33	380	10806
34	386	10653
35	399	10692
36	408	10634
37	415	10512
38	556	13715
39	568	13650
40	578	13519
41	593	13533
42	608	13545
43	619	13466
44	630	13380
45	642	13317
46	651	13205
47	659	13088
48	667	12945
49	673	12798
50	683	12709
51	693	12638
52	699	12507
53	714	12511
54	717	12325
55	720	12143
56	723	11968
57	758	12315
58	769	12274
59	786	12318
60	803	12373
61	807	12209
62	810	12050
63	813	11891
64	816	11742
65	819	11592
66	822	11451
67	825	11311
68	828	11178
69	831	11047
70	834	10920
71	886	11419
72	898	11414
73	905	11336
74	916	11308
75	922	11211
76	933	11191
77	936	11065
78	945	11023
79	952	10955
80	962	10922
81	969	10856
82	982	10854
83	996	10871
84	1007	10850
85	1024	10893
86	1030	10810
87	1037	10749
88	1047	10721
89	1054	10663
90	1065	10644
91	1076	10629
92	1084	10573
93	1096	10570
94	1103	10515
95	1112	10472
96	1125	10473
97	1132	10427
98	1149	10461
99	1164	10481
100	1172	10432
101	1183	10421
102	1194	10406
103	1202	10360
104	1212	10338
105	1220	10294
106	1232	10287
107	1245	10286
108	1254	10257
109	1266	10243
110	1282	10269
111	1288	10218
112	1295	10166
113	1305	10144
114	1316	10130
115	1323	10084
116	1331	10047
117	1343	10041
118	1356	10040
119	1370	10049
120	1381	10035
121	1390	10008
122	1405	10023
123	1418	10020
124	1424	9970
125	1435	9958
126	1442	9914
127	1452	9892
128	1460	9861
129	1469	9837
130	1485	9853
131	1493	9820
132	1509	9842
133	1523	9848
134	1532	9821
135	1543	9803
136	1550	9765
137	1561	9752
138	1571	9734
139	1579	9699
140	1588	9680
141	1596	9648
142	1608	9638
143	1616	9611
144	1632	9627
145	1647	9639
146	1661	9639
147	1669	9610
148	1678	9586
149	1685	9552
150	1696	9537
151	1706	9521
152	1714	9490
153	1727	9488
154	1736	9466
155	1752	9480
156	1765	9481
157	1782	9498
158	1791	9473
159	1808	9496
160	1820	9485
161	1844	9539
162	1846	9482
163	1849	9427
164	1852	9374
165	1855	9322
166	1858	9270
167	1861	9219
168	1876	9227
169	1883	9196
170	1894	9183
171	1906	9175
172	1917	9164
173	1926	9145
174	1936	9130
175	1944	9101
176	1954	9090
177	1962	9062
178	1972	9048
179	1983	9037
180	1991	9009
181	2002	8998
182	2012	8982
183	2020	8959
184	2032	8955
185	2044	8945
186	2058	8948
187	2073	8953
188	2086	8954
189	2098	8945
190	2105	8917
191	2116	8906
192	2126	8892
193	2133	8864
194	2144	8854
195	2157	8849
196	2166	8830
197	2182	8839
198	2190	8816
199	2206	8825
200	2219	8823
201	2226	8796
202	2237	8785
203	2244	8758
204	2255	8748
205	2262	8722
206	2274	8712
207	2283	8694
208	2291	8673
209	2305	8671
210	2314	8653
211	2334	8677
212	2342	8655
213	2353	8645
214	2365	8637
215	2381	8642
216	2390	8627
217	2409	8642
218	2415	8613
219	2433	8628
220	2445	8619
221	2453	8599
222	2467	8598
223	2482	8601
224	2497	8603
225	2507	8585
226	2531	8620
227	2542	8610
228	2549	8584
229	2560	8571
230	2572	8564
231	2585	8559
232	2593	8538
233	2607	8534
234	2609	8495
235	2612	8458
236	2626	8457
237	2635	8437
010
236	2790	8984
237	2801	8970
238	2810	8949
239	2823	8940
240	2829	8911
241	2841	8899
242	2851	8882
243	2878	8917
244	2883	8885
245	2891	8862
246	2902	8849
247	2909	8823
248	2915	8793
249	2935	8805
250	2944	8786
251	2956	8775
252	2966	8759
253	2973	8732
254	2981	8709
255	2994	8703
891	8359
257	2901	8345
258	2908	8322
259	2915	8297
260	2926	8285
261	2938	8277
262	2950	8268
263	2964	8264
264	2978	8262
265	2988	8245
266	2996	8227
267	3011	8225
268	3022	8212
