symbol,trades,wins,losses,winrate,total_pnl_usdt,avg_pnl_usdt,avg_pnl_pct,profit_factor,avg_conf
ICPUSDT,3,0,1,0.0,-1.0,-0.3324,-0.0033,0.0,0.3948
SPXUSDT,2,0,0,0.0,0.0,0.0,0.0,0.0,0.4084
PENGUUSDT,8,0,1,0.0,-0.5,-0.0622,-0.0006,0.0,0.5708
CFGUSDT,4,0,1,0.0,-1.67,-0.4174,-0.0042,0.0,0.5881
BIOUSDT,5,1,1,0.5,0.28,0.0559,0.0006,2.2592,0.6256
ENAUSDT,5,1,0,1.0,0.5,0.0996,0.001,-1,0.6489
AXLUSDT,3,0,0,0.0,0.0,0.0,0.0,0.0,0.8443
1000LUNCUSDT,2,0,0,0.0,0.0,0.0,0.0,0.0,0.7425
BASEDUSDT,6,0,0,0.0,0.0,0.0,0.0,0.0,0.5581
VIRTUALUSDT,9,2,0,1.0,0.99,0.1101,0.0011,-1,0.7747
ORDIUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.7808
JTOUSDT,2,0,0,0.0,0.0,0.0,0.0,0.0,0.6002
TSTBSCUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DASHUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TONUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
STXUSDT,4,0,0,0.0,0.0,0.0,0.0,0.0,0.8457
FHEUSDT,4,0,1,0.0,-15.26,-3.8161,-0.038,0.0,0.6883
MUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.8372
ZECUSDT,4,0,0,0.0,0.0,0.0,0.0,0.0,0.6238
HYPERUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5953
1000TAGUSDT,1,0,1,0.0,-0.36,-0.3566,-0.0036,0.0,0.6731
GALAUSDT,1,0,0,0.0,0.0,0.0,0.0,0.0,0.6235
STEEMUSDT,2,0,0,0.0,0.0,0.0,0.0,0.0,0.7228
