timestamp,symbol,direction,confidence,bucket,score,ev,regime,agreement,adx,atr,spread_bps,depth_usdt,funding_rate,allow_entry,reason
1777988584.079468,PENGUUSDT,short,0.4741,<0.55,0.7657,0.003282,trend,3,0.0,0.00028407,0.86,22493.54,0.0,False,low_conf(conf=0.474<thr=0.55@trend)
1777988584.0799289,WLFIUSDT,long,0.2142,<0.55,0.5602,-0.002572,chop,2,0.0,0.00096786,1.56,16733.44,0.0,False,low_conf(conf=0.214<thr=0.55@chop)
1777988584.0802698,BIOUSDT,long,0.0679,<0.55,0.5048,-0.003401,chop,2,0.0,0.00140286,1.89,21217.76,0.0,False,low_conf(conf=0.068<thr=0.55@chop)
1777988584.353908,SPXUSDT,short,0.8169,0.75+,0.6936,9.1e-05,chop,3,0.0,0.00578571,2.47,17619.06,0.0,True,ok
1777988585.8611724,DASHUSDT,long,0.1829,<0.55,0.5312,-0.001986,chop,2,0.0,0.93214286,2.21,47442.57,0.0,False,low_conf(conf=0.183<thr=0.55@chop)
1777988586.226978,ORCAUSDT,short,0.9531,0.75+,0.6716,0.000174,chop,3,0.0,0.03498571,0.61,4816.18,0.0,True,override_high_ev
1777988587.8113413,AXLUSDT,short,0.1977,<0.55,0.4695,-0.002309,chop,2,0.0,0.00172786,1.3,6094.04,0.0,False,low_conf(conf=0.198<thr=0.55@chop)
1777988588.1579044,TONUSDT,long,0.9135,0.75+,0.7464,0.002606,trend,3,0.0,0.091,0.55,2586.36,0.0,True,override_high_ev
1777988589.9717486,ZROUSDT,short,0.703,0.70-0.75,0.5538,-0.004394,chop,3,0.0,0.02352857,0.69,2270.01,0.0,True,override_high_ev
1777988591.7507896,1000LUNCUSDT,long,0.7726,0.75+,0.5772,-0.000778,chop,3,0.0,0.00334643,0.97,2339.65,0.0,True,override_high_ev
1777988593.6955616,NOTUSDT,short,0.8997,0.75+,0.6711,0.011586,chop,3,0.0,3.256e-05,6.07,16804.3,0.0,True,override_high_ev
1777988595.6067646,GIGGLEUSDT,long,0.6317,0.60-0.65,0.4917,-0.001568,chop,3,0.0,0.985,2.78,2831.31,0.0,True,override_high_ev
1777988597.0131283,PRLUSDT,long,0.1624,<0.55,0.3741,-0.011107,chop,2,0.0,0.01923571,3.28,2548.34,0.0,False,low_conf(conf=0.162<thr=0.55@chop)
1777988597.0136356,HMSTRUSDT,short,0.0625,<0.55,0.4541,-0.007904,trend,2,0.0,1.032e-05,5.78,3505.28,0.0,False,low_conf(conf=0.063<thr=0.55@trend)
1777988597.0139146,FHEUSDT,long,0.3688,<0.55,0.5411,0.000176,trend,2,0.0,0.00156357,14.03,3284.89,0.0,False,low_conf(conf=0.369<thr=0.55@trend)
1777988597.0142186,BSBUSDT,short,0.0264,<0.55,0.315,0.003804,chop,2,0.0,0.04261429,6.68,2387.98,0.0,False,low_conf(conf=0.026<thr=0.55@chop)
