timestamp_open,timestamp_close,duration_sec,symbol,side,entry_price,exit_price,qty,notional_entry,pnl_usdt,pnl_pct,result,confidence,bucket,score,ev,regime,agreement,adx,atr,spread_bps,funding_rate,exit_reason,strategy_id
1777988631.0132518,1777988786.1827912,155.16953945159912,ICPUSDT,short,2.55,0.0,3921.568627450981,10000.0,0.0,0.0,FLAT,0.5547,0.55-0.60,0.5705,2.1e-05,chop,2,0.0,0.02357143,3.92,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777988585.8574367,1777988964.5592136,378.70177698135376,SPXUSDT,short,0.406,0.0,24660.912453760786,10012.3305,0.0,0.0,FLAT,0.8169,0.75+,0.6936,9.1e-05,chop,3,0.0,0.00578571,2.47,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777989092.325706,1777989784.923171,692.5974650382996,PENGUUSDT,short,0.011797,0.0,847744.99830451,10000.8477,0.0,0.0,FLAT,0.572,0.55-0.60,0.7855,0.00232,trend,3,0.0,0.00029529,0.85,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777989887.5030222,1777991559.1445625,1671.6415402889252,PENGUUSDT,short,0.011632,0.0,860067.0852326482,10004.3003,0.0,0.0,FLAT,0.6649,0.65-0.70,0.7976,0.00289,trend,3,0.0,0.00029529,1.72,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777991599.2383852,1777991652.3587425,53.120357275009155,CFGUSDT,short,0.2501,0.0,39572.61574990107,9897.1112,0.0,0.0,FLAT,0.8995,0.75+,0.722,0.001667,trend,3,0.0,0.0078,3.98,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777991593.0463965,1777991909.7183664,316.6719698905945,PENGUUSDT,short,0.011802,0.0,845594.452900389,9979.7057,0.0,0.0,FLAT,0.8151,0.75+,0.7301,0.003513,chop,3,0.0,0.00031186,0.85,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777991987.1135993,1777992367.3371613,380.223562002182,CFGUSDT,short,0.2608,0.0,38431.97540353574,10023.0592,0.0,0.0,FLAT,0.8886,0.75+,0.6846,0.001962,trend,3,0.0,0.0078,3.82,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777989691.8666873,1777992594.1633656,2902.2966783046722,BIOUSDT,short,0.05318,0.0,188323.91713747644,10015.0659,0.0,0.0,FLAT,0.577,0.55-0.60,0.657,0.001141,chop,3,0.0,0.00116571,1.88,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777992642.3635232,1777993297.8547163,655.4911930561066,BIOUSDT,long,0.05248,0.0,190694.12662090006,10007.6278,0.0,0.0,FLAT,0.7387,0.70-0.75,0.6875,0.003027,chop,3,0.0,0.00128357,1.91,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777991978.6330538,1777993668.7655983,1690.132544517517,PENGUUSDT,short,0.011592,0.0,867001.9074041962,10050.2861,0.0,0.0,FLAT,0.6341,0.60-0.65,0.8169,0.002819,trend,3,0.0,0.00031186,0.87,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777993731.2745426,1777994701.0417993,969.7672567367554,PENGUUSDT,short,0.01175,0.0,854846.9823901522,10044.452,0.0,0.0,FLAT,0.5946,0.55-0.60,0.7951,0.001326,trend,3,0.0,0.00028171,0.85,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777994621.6010463,1777995219.513178,597.9121317863464,ENAUSDT,short,0.11032,0.0,90744.10163339383,10010.8893,0.0,0.0,FLAT,0.7255,0.70-0.75,0.6807,-0.002284,chop,3,0.0,0.00200857,0.91,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777996999.3761752,1777997440.4390228,441.06284761428833,PENGUUSDT,long,0.011559,0.0,865051.9031141868,9999.1349,0.0,0.0,FLAT,0.6693,0.65-0.70,0.8227,-0.001425,trend,3,0.0,0.00026736,0.86,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777995521.170548,1777997751.684476,2230.513927936554,ENAUSDT,short,0.10936,0.0,91474.57006952068,10003.659,0.498167,0.005,WIN,0.9393,0.75+,0.7276,0.001882,chop,3,0.0,0.00200929,0.92,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
1777997822.3462982,1777997929.2412765,106.89497828483582,AXLUSDT,long,0.07704496,0.0,5322.0,410.0333,0.0,0.0,FLAT,0.8518,0.75+,0.6956,-0.001741,breakout,3,0.0,0.00158571,1.25,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777997918.30129,1777998005.092853,86.79156303405762,1000LUNCUSDT,long,0.10442712,0.0,42971.0,4487.3378,0.0,0.0,FLAT,0.8727,0.75+,0.5889,-0.007722,chop,3,0.0,0.00381643,0.88,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777997824.1087887,1777998552.7711437,728.6623549461365,BASEDUSDT,short,0.0898,0.0,111482.72017837234,10011.1483,0.0,0.0,FLAT,0.6196,0.60-0.65,0.737,-0.000593,trend,3,0.0,0.00190714,11.15,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777997907.7086387,1777998552.7727165,645.0640778541565,VIRTUALUSDT,short,0.8159,0.0,12275.963663147557,10015.9588,0.0,0.0,FLAT,0.8179,0.75+,0.8463,0.000235,trend,3,0.0,0.01269286,1.23,0.0,tp1_full,v7_stats_collection_buckets_2026-05-05
1777997906.172811,1777998630.1509058,723.9780948162079,ENAUSDT,short,0.11027,0.0,90596.1224859576,9990.0344,0.0,0.0,FLAT,0.6933,0.65-0.70,0.686,-0.002754,chop,3,0.0,0.00207143,0.91,0.0,stop_loss,v7_stats_collection_buckets_2026-05-05
