symbol,closed_pnl_bybit,closed_n_bybit,winrate_bybit,wins_bybit,losses_bybit,best_closed_pnl,worst_closed_pnl,buy_close_n,sell_close_n,first_close_utc,last_close_utc,trade_log_n,trade_log_valid_pnl_n,trade_log_valid_pnl_sum,meta_n,avg_conf_trade_meta,min_conf_trade_meta,max_conf_trade_meta,trade_dirs,trade_regimes,trade_buckets,pnl_sources,signals_total,signals_allowed,signals_blocked,signal_avg_conf,signal_dirs,signal_regimes,signal_buckets,top_block_reasons
FHEUSDT,32900.57853267,20,0.8,16,4,6790.93404709,-573.45559707,3,17,2026-05-05 14:04:31,2026-05-06 09:39:25,8,0,0.0,7,0.6539479149622379,0.5528357097761605,0.721774663996145,long:6;short:2,trend:5;chop:2,0.70-0.75:2;0.65-0.70:2;0.55-0.60:2;0.60-0.65:1,missing:8,713,35,678,0.36163506311360416,short:481;long:232,chop:386;trend:327,<0.55:547;0.75+:48;0.55-0.60:35;0.70-0.75:33;0.65-0.70:26;0.60-0.65:24,exposure:481;risk_total_exposure:82;horizon_disagree(agreement=1<2):13;low_conf(conf=0.388<thr=0.55@trend):3;low_conf(conf=0.417<thr=0.55@chop):2
1000NEIROCTOUSDT,8381.41736244,15,0.8666666666666667,13,2,1871.58223396,-256.79637867,14,1,2026-05-05 14:39:14,2026-05-06 09:05:01,1,1,153.66415657,0,0.0,0.0,0.0,long:1,-,-,bybit_closed_pnl:1,682,70,612,0.6040423753665679,short:446;long:236,chop:590;trend:92,<0.55:259;0.75+:227;0.70-0.75:63;0.60-0.65:59;0.65-0.70:41;0.55-0.60:33,exposure:574;low_conf(conf=0.407<thr=0.55@chop):2;low_conf(conf=0.448<thr=0.55@chop):1;low_conf(conf=0.432<thr=0.55@chop):1;low_conf(conf=0.445<thr=0.55@chop):1
TONUSDT,8142.84670543,18,0.7777777777777778,14,4,3213.45822764,-326.02891832,0,18,2026-05-05 14:18:57,2026-05-06 09:04:46,3,1,1446.65139156,0,0.0,0.0,0.0,long:3,-,-,missing:2;bybit_closed_pnl:1,713,52,661,0.7026877980364653,long:712;short:1,chop:372;trend:341,0.75+:332;<0.55:141;0.70-0.75:99;0.65-0.70:73;0.60-0.65:37;0.55-0.60:31,exposure:651;low_conf(conf=0.422<thr=0.55@chop):1;low_conf(conf=0.339<thr=0.55@chop):1;low_conf(conf=0.505<thr=0.55@chop):1;low_conf(conf=0.417<thr=0.55@trend):1
1000LUNCUSDT,6198.09695613,18,0.5555555555555556,10,8,4486.9775603,-455.91321613,0,18,2026-05-05 14:25:13,2026-05-06 10:06:30,2,0,0.0,2,0.7425285514075347,0.6123341992046614,0.872722903610408,long:2,chop:2,0.75+:1;0.60-0.65:1,missing:2,433,46,387,0.5797782909930712,long:329;short:104,chop:307;trend:126,<0.55:163;0.75+:160;0.70-0.75:41;0.65-0.70:39;0.60-0.65:25;0.55-0.60:5,exposure:290;risk_total_exposure:41;horizon_disagree(agreement=1<2):5;low_conf(conf=0.134<thr=0.55@trend):2;low_conf(conf=0.201<thr=0.55@chop):2
PRLUSDT,4854.664744749999,17,1.0,17,0,1682.18678689,105.68320245,17,0,2026-05-05 15:25:25,2026-05-06 09:04:38,1,1,196.37721611,0,0.0,0.0,0.0,short:1,-,-,bybit_closed_pnl:1,717,50,667,0.5284482566248258,short:713;long:4,chop:714;trend:3,<0.55:349;0.75+:100;0.60-0.65:83;0.55-0.60:76;0.70-0.75:65;0.65-0.70:44,exposure:606;horizon_disagree(agreement=1<2):4;low_conf(conf=0.433<thr=0.55@chop):4;low_conf(conf=0.413<thr=0.55@chop):2;low_conf(conf=0.493<thr=0.55@chop):2
ORCAUSDT,4339.529722249998,35,0.6,21,14,363.42292341,-106.77496549,35,0,2026-05-05 14:27:27,2026-05-06 07:26:21,1,0,0.0,1,0.8128417017075041,0.8128417017075041,0.8128417017075041,short:1,chop:1,0.75+:1,missing:1,640,54,586,0.6296246874999991,short:465;long:175,trend:457;chop:183,0.75+:307;<0.55:207;0.70-0.75:46;0.65-0.70:34;0.60-0.65:25;0.55-0.60:21,exposure:558;horizon_disagree(agreement=1<2):3;low_conf(conf=0.428<thr=0.55@trend):1;low_conf(conf=0.101<thr=0.55@trend):1;low_conf(conf=0.480<thr=0.55@trend):1
ZROUSDT,2861.9200591100002,15,0.8666666666666667,13,2,984.98602199,-102.11311557,15,0,2026-05-05 14:14:17,2026-05-06 05:13:41,1,0,0.0,1,0.6061088712158715,0.6061088712158715,0.6061088712158715,short:1,trend:1,0.60-0.65:1,missing:1,576,50,526,0.53443125,short:505;long:71,chop:362;trend:214,<0.55:262;0.75+:196;0.70-0.75:38;0.60-0.65:32;0.65-0.70:24;0.55-0.60:24,exposure:485;horizon_disagree(agreement=1<2):9;low_conf(conf=0.480<thr=0.55@chop):1;low_conf(conf=0.069<thr=0.55@chop):1;low_conf(conf=0.314<thr=0.55@chop):1
TSTBSCUSDT,2306.8143186199995,8,0.75,6,2,658.17624803,-130.71519969,6,2,2026-05-05 19:07:42,2026-05-06 09:04:51,2,1,-41.04198546,0,0.0,0.0,0.0,short:1;long:1,-,-,missing:1;bybit_closed_pnl:1,489,20,469,0.34572719836400845,long:290;short:199,chop:454;trend:34;breakout:1,<0.55:415;0.55-0.60:34;0.75+:24;0.60-0.65:7;0.65-0.70:6;0.70-0.75:3,exposure:394;risk_total_exposure:17;low_conf(conf=0.186<thr=0.55@chop):2;low_conf(conf=0.242<thr=0.55@chop):2;low_conf(conf=0.139<thr=0.55@chop):2
CFXUSDT,1808.3371752300002,9,0.8888888888888888,8,1,441.84302687,-111.394817,7,2,2026-05-06 01:45:33,2026-05-06 09:04:43,0,0,0.0,0,0.0,0.0,0.0,-,-,-,-,289,15,274,0.3805889273356404,short:205;long:84,trend:224;chop:65,<0.55:177;0.75+:47;0.70-0.75:18;0.55-0.60:18;0.65-0.70:15;0.60-0.65:14,exposure:241;horizon_disagree(agreement=1<2):11;risk_total_exposure:7;low_conf(conf=0.165<thr=0.55@chop):2;low_conf(conf=0.512<thr=0.55@trend):1
AXLUSDT,1340.24121126,10,0.9,9,1,412.86482941,-163.1753058,2,8,2026-05-05 15:06:48,2026-05-06 09:04:57,4,1,412.86482941,3,0.8442850773723228,0.8028120684336931,0.8782012874878722,long:2;short:2,breakout:3,0.75+:3,missing:3;bybit_closed_pnl:1,342,18,324,0.4464230994152048,long:189;short:153,chop:217;breakout:104;trend:21,<0.55:215;0.75+:62;0.55-0.60:21;0.65-0.70:18;0.60-0.65:16;0.70-0.75:10,exposure:249;horizon_disagree(agreement=1<2):14;risk_total_exposure:14;low_conf(conf=0.152<thr=0.55@chop):2;low_conf(conf=0.129<thr=0.55@breakout):2
